plus_station,minus_station,plus_lat,plus_lon,minus_lat,minus_lon,distance_km,polarity_difference_mm,combined_strength_mm,minimum_strength_mm,plus_strong_10_days,minus_strong_10_days,pair_score,judgment
020962,950244,37.212112531,138.63461419,37.079134903,138.60873881,14.963240693195358,152.5551,152.5551,39.8765,191,162,12,A_境界重点
020962,950240,37.212112531,138.63461419,37.311313937,138.7899991,17.62870914315761,193.03115,193.03115,80.35255,191,165,11,A_境界重点
950238,020961,37.662293003,139.05914053,37.540339802,139.11146812,14.322725256112475,73.1398,73.1398,30.9011,181,92,11,A_境界重点
950238,970810,37.662293003,139.05914053,37.58973482,138.92029788,14.649487753929721,72.50049999999999,72.50049999999999,30.2618,181,66,11,A_境界重点
960559,960560,37.615950342,140.20568418,37.620726453,140.37293345,14.740360366682095,72.3869,72.3869,36.08860000000001,60,84,11,A_境界重点
020964,950244,37.107084092,138.45737366,37.079134903,138.60873881,13.780398875125695,70.32560000000001,70.32560000000001,30.4491,159,162,11,A_境界重点
950481,021087,31.965045293,131.07857432,31.877792205,130.97695926,13.642060856497801,69.6754,69.6754,32.7804,32,36,11,A_境界重点
07S067,960560,37.73389326,140.31685399,37.620726453,140.37293345,13.51681685211151,68.4537,68.4537,32.3651,65,84,11,A_境界重点
020962,960567,37.212112531,138.63461419,37.348538493,138.51638415,18.426796366140085,147.01805000000002,147.01805000000002,34.33945,191,11,10,A_境界重点
970812,950291,35.359729762,136.47030974,35.371708501,136.54974724,7.325238899234953,105.1911,105.1911,20.0032,86,7,10,A_境界重点
950251,960617,36.401878364,136.92056601,36.261467167,136.90427714,15.681047260420844,98.0112,98.0112,43.9002,188,31,10,A_境界重点
020963,970801,37.157614136,139.24712665,37.036933522,139.40225121,19.21863129369479,90.0502,90.0502,37.8115,171,53,10,A_境界重点
950163,960543,39.851228075,141.16489062,39.953063189,141.06635518,14.102183334907345,86.15795,86.15795,40.5907,24,163,10,A_境界重点
020933,960556,38.628404822,140.22054461,38.496759735,140.36519413,19.299050450256733,85.18,85.18,30.391300000000005,187,78,10,A_境界重点
950187,020924,39.749149014,140.59707423,39.921378725,140.53588052,19.851059573075627,83.631,83.631,37.6716,132,124,10,A_境界重点
020968,950248,36.75795025,137.15448302,36.740620415,136.99613481,14.239212348797906,81.47185,81.47185,28.014300000000002,81,189,10,A_境界重点
020986,950274,35.944600664,137.78544131,35.783617515,137.69626451,19.621563140588965,78.9717,78.9717,34.173500000000004,79,56,10,A_境界重点
020904,960543,40.106731675,141.04647676,39.953063189,141.06635518,17.17077390985675,78.60765,78.60765,33.040400000000005,162,163,10,A_境界重点
081167,960645,35.535624406,134.49150229,35.621200418,134.67738445,19.31694253832549,77.8132,77.8132,34.68195,186,131,10,A_境界重点
020986,960611,35.944600664,137.78544131,36.08466293,137.6826325,18.112417383298453,76.4118,76.4118,31.613599999999998,79,40,10,A_境界重点
970817,93079,35.066972596,138.20998586,35.103910992,138.13490431,7.971354089388054,75.03059999999999,75.03059999999999,20.195,20,35,10,A_境界重点
020939,020941,37.461286962,139.83554943,37.326208531,139.68636891,19.982135598128195,72.9893,72.9893,33.509,164,131,10,A_境界重点
960553,020908,39.702666256,140.73288071,39.554439591,140.83635247,18.713212189151044,72.7731,72.7731,34.3254,173,60,10,A_境界重点
020964,960569,37.107084092,138.45737366,37.056681021,138.24259864,19.85959883540924,72.6991,72.6991,30.4491,159,128,10,A_境界重点
960553,950165,39.702666256,140.73288071,39.701074302,140.96453342,19.818908006341353,70.92305,70.92305,34.3254,173,34,10,A_境界重点
950200,960560,37.683303766,140.46652466,37.620726453,140.37293345,10.784561004722486,70.2874,70.2874,34.1988,27,84,10,A_境界重点
960721,960720,31.552217898,130.63736138,31.591837418,130.70854603,8.05522352384707,66.7602,66.7602,22.890800000000002,19,24,10,A_境界重点
950158,07S063,40.405189199,141.71314897,40.302120622,141.7768729,12.669079220479777,56.66395,56.66395,25.32365,105,51,10,A_境界重点
950316,071156,33.741272865,136.01090098,33.820425343,136.02434747,8.88865908082569,55.8138,55.8138,24.1389,23,26,10,A_境界重点
950261,020978,35.534408154,135.90764489,35.486571388,135.75564942,14.750166094232908,55.74720000000001,55.74720000000001,27.7144,184,102,10,A_境界重点
93049,950297,34.916114575,138.92482495,34.865588812,138.92225491,5.623096364303389,54.42725,54.42725,26.978749999999998,14,32,10,A_境界重点
950153,020899,40.625058851,141.19784249,40.57997022,141.1060355,9.230921633345778,53.413399999999996,53.413399999999996,20.7328,26,115,10,A_境界重点
960721,960719,31.552217898,130.63736138,31.624094351,130.6518961,8.11000503064531,52.8647,52.8647,22.890800000000002,19,10,10,A_境界重点
940020,02P102,42.153541971,139.51960631,42.078782302,139.48920031,8.682982021575679,52.7812,52.7812,25.8142,137,16,10,A_境界重点
960634,940064,34.854900133,136.39326296,34.758997223,136.50229441,14.588090957921487,51.007400000000004,51.007400000000004,21.6503,51,83,10,A_境界重点
950163,950161,39.851228075,141.16489062,39.980557985,141.22508988,15.26981349131547,90.221,90.221,40.5907,24,184,9,A_境界重点
950318,940056,35.466285407,136.05367107,35.602559625,136.10581288,15.8705476730007,86.4395,86.4395,39.396,170,11,9,A_境界重点
940033,020931,38.758584261,140.31877589,38.752144387,140.49730367,15.49717290739003,82.0445,82.0445,26.57,42,52,9,A_境界重点
950378,021017,35.456753593,134.04667568,35.340591044,134.15595377,16.277226532251838,79.94030000000001,79.94030000000001,32.6812,176,20,9,A_境界重点
950318,950317,35.466285407,136.05367107,35.557330113,136.19795069,16.523576940237287,79.59355,79.59355,39.396,170,24,9,A_境界重点
021089,960720,31.743778192,130.73568141,31.591837418,130.70854603,17.08910159548507,78.2101,78.2101,34.3407,68,24,9,A_境界重点
950489,960720,31.617371944,130.83607286,31.591837418,130.70854603,12.406444731500168,72.0429,72.0429,28.1735,12,24,9,A_境界重点
00R015,940046,36.559124388,137.72082559,36.499766223,137.85113039,13.3835699951167,69.41725,69.41725,25.027250000000002,161,23,9,A_境界重点
021071,950465,32.709233562,130.74837851,32.842101046,130.76480652,14.853809549575963,68.3393,68.3393,22.4319,61,13,9,A_境界重点
041138,950250,36.576967462,137.59597979,36.578704964,137.43990454,13.938056620770606,68.3051,68.3051,26.2848,27,109,9,A_境界重点
020986,960614,35.944600664,137.78544131,35.880002577,137.59827877,18.32227200557048,67.61850000000001,67.61850000000001,22.820300000000003,79,46,9,A_境界重点
960544,950190,39.351283092,140.76922114,39.326987333,140.55981385,18.210317151067503,66.3109,66.3109,31.566499999999998,167,15,9,A_境界重点
020968,02P207,36.75795025,137.15448302,36.762173625,137.2245845,6.2625300354565665,66.0769,66.0769,28.014300000000002,81,6,9,A_境界重点
950273,00R019,36.121109027,137.98301746,36.20082009,138.05917996,11.194277573891661,63.622249999999994,63.622249999999994,20.1722,17,59,9,A_境界重点
021083,960712,32.527929762,131.36470697,32.384395525,131.33401957,16.21791661113689,63.054100000000005,63.054100000000005,25.2871,49,32,9,A_境界重点
020850,950103,44.990502923,142.29225993,45.00239647,142.53709082,19.296799050314807,62.1504,62.1504,26.7284,59,68,9,A_境界重点
960697,960696,32.660648463,130.2907218,32.722571677,130.35227998,8.977516599062502,60.8541,60.8541,18.60755,12,22,9,A_境界重点
031114,950416,33.932796775,134.51002862,34.059905903,134.56014158,14.869762811045652,59.950199999999995,59.950199999999995,24.833,49,14,9,A_境界重点
950237,970810,37.667521534,138.78052426,37.58973482,138.92029788,15.044200137453883,59.54955,59.54955,29.287750000000003,78,66,9,A_境界重点
021083,960711,32.527929762,131.36470697,32.557046378,131.5306786,15.890913551058901,59.0636,59.0636,21.296599999999998,49,40,9,A_境界重点
950237,970806,37.667521534,138.78052426,37.77698784,138.88046108,15.014012598415807,58.948100000000004,58.948100000000004,29.287750000000003,78,110,9,A_境界重点
950237,970807,37.667521534,138.78052426,37.498654653,138.77955801,18.777333487460126,58.06485000000001,58.06485000000001,28.7771,78,101,9,A_境界重点
940013,020882,43.177850848,141.03091803,43.140393065,141.20329507,14.589024575297477,57.829800000000006,57.829800000000006,20.908450000000002,133,18,9,A_境界重点
020903,950159,40.271029596,141.48488142,40.291134317,141.29370403,16.3706640278215,57.806200000000004,57.806200000000004,26.2695,122,183,9,A_境界重点
020912,940029,38.995444427,141.14857577,39.110604694,141.20397037,13.66946268188178,57.6367,57.6367,25.554299999999998,72,19,9,A_境界重点
041129,960635,34.603333613,136.43194033,34.648748424,136.32976196,10.625959232227265,57.4655,57.4655,23.027099999999997,13,83,9,A_境界重点
020968,960573,36.75795025,137.15448302,36.649561272,137.03190698,16.26864923986151,57.3784,57.3784,28.014300000000002,81,169,9,A_境界重点
950157,950159,40.29106137,141.07649317,40.291134317,141.29370403,18.42295830918845,55.817,55.817,24.2803,60,183,9,A_境界重点
940035,960556,38.33101905,140.3661279,38.496759735,140.36519413,18.429702878287078,55.0158,55.0158,24.624499999999998,37,78,9,A_境界重点
020958,141206,35.929927937,138.92605999,35.753921695,138.95355694,19.72732148126771,54.06485000000001,54.06485000000001,23.8148,30,92,9,A_境界重点
960554,950190,39.199082534,140.50672786,39.326987333,140.55981385,14.938652474369569,53.8108,53.8108,22.2443,111,15,9,A_境界重点
021052,950443,33.607022225,133.15449136,33.468401957,133.28091456,19.36190258680336,53.14855,53.14855,20.4241,67,56,9,A_境界重点
010845,020942,37.361820749,140.32441971,37.293039213,140.2127732,12.487880745821435,52.87475,52.87475,20.328049999999998,48,17,9,A_境界重点
